Text 1,Text 2,Cosine Similarity
Heavy rainfall can cause flooding in cities and affect transportation systems.,Electric vehicles are becoming increasingly popular because they can reduce fuel consumption.,0.2061
Machine learning enables computers to learn patterns from data without explicit programming.,Scientists are developing new technologies to explore distant planets and moons.,0.2016
Eating a balanced diet provides the body with essential nutrients and energy.,Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,0.1975
Artificial intelligence is transforming many industries by automating complex tasks.,Electric vehicles are becoming increasingly popular because they can reduce fuel consumption.,0.1963
Deep learning uses neural networks to solve complex problems involving large amounts of data.,Heavy rainfall can cause flooding in cities and affect transportation systems.,0.1962
Regular exercise helps people maintain a healthy and active lifestyle.,Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,0.1959
Deep learning uses neural networks to solve complex problems involving large amounts of data.,Climate change is causing significant changes in global weather patterns.,0.1944
Cricket matches attract millions of viewers and fans across different countries.,Electric vehicles are becoming increasingly popular because they can reduce fuel consumption.,0.1916
Climate change is causing significant changes in global weather patterns.,Electric vehicles are becoming increasingly popular because they can reduce fuel consumption.,0.1897
Regular exercise helps people maintain a healthy and active lifestyle.,The government announced new measures to improve public transportation.,0.1894
Deep learning uses neural networks to solve complex problems involving large amounts of data.,Reducing carbon emissions can help slow the effects of climate change.,0.1876
Regular exercise helps people maintain a healthy and active lifestyle.,Electric vehicles are becoming increasingly popular because they can reduce fuel consumption.,0.1856
Scientists are developing new technologies to explore distant planets and moons.,The government announced new measures to improve public transportation.,0.1843
Climate change is causing significant changes in global weather patterns.,Scientists are developing new technologies to explore distant planets and moons.,0.1789
Cricket matches attract millions of viewers and fans across different countries.,Modern smartphones provide users with powerful communication and computing features.,0.1765
Cricket matches attract millions of viewers and fans across different countries.,"Space exploration helps scientists understand planets, stars, and the universe.",0.1746
Machine learning enables computers to learn patterns from data without explicit programming.,Climate change is causing significant changes in global weather patterns.,0.173
Online education allows students to access learning materials from anywhere.,Modern smartphones provide users with powerful communication and computing features.,0.1698
The government announced new measures to improve public transportation.,Researchers discovered a new method for detecting diseases at an early stage.,0.1681
Climate change is causing significant changes in global weather patterns.,The government announced new measures to improve public transportation.,0.1677
Artificial intelligence is transforming many industries by automating complex tasks.,Football is one of the most popular sports in many countries around the world.,0.1671
Eating a balanced diet provides the body with essential nutrients and energy.,Reducing carbon emissions can help slow the effects of climate change.,0.167
Students can improve their academic performance through regular practice and effective study habits.,Electric vehicles are becoming increasingly popular because they can reduce fuel consumption.,0.1665
Online education allows students to access learning materials from anywhere.,"Space exploration helps scientists understand planets, stars, and the universe.",0.1655
Machine learning enables computers to learn patterns from data without explicit programming.,Online education allows students to access learning materials from anywhere.,0.1655
Students can improve their academic performance through regular practice and effective study habits.,Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,0.1647
Artificial intelligence is transforming many industries by automating complex tasks.,Reducing carbon emissions can help slow the effects of climate change.,0.16
Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,"Space exploration helps scientists understand planets, stars, and the universe.",0.157
Artificial intelligence is transforming many industries by automating complex tasks.,"Space exploration helps scientists understand planets, stars, and the universe.",0.1556
Artificial intelligence is transforming many industries by automating complex tasks.,The government announced new measures to improve public transportation.,0.1549
Climate change is causing significant changes in global weather patterns.,Cloud computing allows users to store and access data through internet-based services.,0.1542
Students can improve their academic performance through regular practice and effective study habits.,Cricket matches attract millions of viewers and fans across different countries.,0.1534
"Space exploration helps scientists understand planets, stars, and the universe.",The government announced new measures to improve public transportation.,0.1519
Regular exercise helps people maintain a healthy and active lifestyle.,"Space exploration helps scientists understand planets, stars, and the universe.",0.15
Students can improve their academic performance through regular practice and effective study habits.,Eating a balanced diet provides the body with essential nutrients and energy.,0.1495
Regular exercise helps people maintain a healthy and active lifestyle.,Cricket matches attract millions of viewers and fans across different countries.,0.1493
Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,The government announced new measures to improve public transportation.,0.149
Online education allows students to access learning materials from anywhere.,Scientists are developing new technologies to explore distant planets and moons.,0.1485
Climate change is causing significant changes in global weather patterns.,"Space exploration helps scientists understand planets, stars, and the universe.",0.1477
Regular exercise helps people maintain a healthy and active lifestyle.,Reducing carbon emissions can help slow the effects of climate change.,0.1476
Reducing carbon emissions can help slow the effects of climate change.,Cloud computing allows users to store and access data through internet-based services.,0.1468
Artificial intelligence is transforming many industries by automating complex tasks.,Cloud computing allows users to store and access data through internet-based services.,0.1449
Deep learning uses neural networks to solve complex problems involving large amounts of data.,Cloud computing allows users to store and access data through internet-based services.,0.1413
Students can improve their academic performance through regular practice and effective study habits.,Scientists are developing new technologies to explore distant planets and moons.,0.1392
Scientists are developing new technologies to explore distant planets and moons.,Cloud computing allows users to store and access data through internet-based services.,0.1379
Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,Heavy rainfall can cause flooding in cities and affect transportation systems.,0.1365
Cricket matches attract millions of viewers and fans across different countries.,Scientists are developing new technologies to explore distant planets and moons.,0.1362
Machine learning enables computers to learn patterns from data without explicit programming.,Students can improve their academic performance through regular practice and effective study habits.,0.1356
Cloud computing allows users to store and access data through internet-based services.,Electric vehicles are becoming increasingly popular because they can reduce fuel consumption.,0.1353
Students can improve their academic performance through regular practice and effective study habits.,Football is one of the most popular sports in many countries around the world.,0.1341
Eating a balanced diet provides the body with essential nutrients and energy.,The government announced new measures to improve public transportation.,0.1336
Artificial intelligence is transforming many industries by automating complex tasks.,Heavy rainfall can cause flooding in cities and affect transportation systems.,0.1336
Deep learning uses neural networks to solve complex problems involving large amounts of data.,Students can improve their academic performance through regular practice and effective study habits.,0.1332
Reducing carbon emissions can help slow the effects of climate change.,Scientists are developing new technologies to explore distant planets and moons.,0.1323
Eating a balanced diet provides the body with essential nutrients and energy.,"Space exploration helps scientists understand planets, stars, and the universe.",0.1315
Students can improve their academic performance through regular practice and effective study habits.,Modern smartphones provide users with powerful communication and computing features.,0.1315
Regular exercise helps people maintain a healthy and active lifestyle.,Modern smartphones provide users with powerful communication and computing features.,0.1289
Students can improve their academic performance through regular practice and effective study habits.,Cloud computing allows users to store and access data through internet-based services.,0.1276
Students can improve their academic performance through regular practice and effective study habits.,The government announced new measures to improve public transportation.,0.1254
Football is one of the most popular sports in many countries around the world.,Modern smartphones provide users with powerful communication and computing features.,0.1233
Deep learning uses neural networks to solve complex problems involving large amounts of data.,Researchers discovered a new method for detecting diseases at an early stage.,0.1227
Deep learning uses neural networks to solve complex problems involving large amounts of data.,Online education allows students to access learning materials from anywhere.,0.122
Machine learning enables computers to learn patterns from data without explicit programming.,Researchers discovered a new method for detecting diseases at an early stage.,0.1215
Deep learning uses neural networks to solve complex problems involving large amounts of data.,Modern smartphones provide users with powerful communication and computing features.,0.1201
Machine learning enables computers to learn patterns from data without explicit programming.,Cricket matches attract millions of viewers and fans across different countries.,0.1178
Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,Cloud computing allows users to store and access data through internet-based services.,0.1174
Machine learning enables computers to learn patterns from data without explicit programming.,Reducing carbon emissions can help slow the effects of climate change.,0.1148
Cloud computing allows users to store and access data through internet-based services.,Heavy rainfall can cause flooding in cities and affect transportation systems.,0.1136
Machine learning enables computers to learn patterns from data without explicit programming.,Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,0.1106
Machine learning enables computers to learn patterns from data without explicit programming.,Modern smartphones provide users with powerful communication and computing features.,0.1104
Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,Scientists are developing new technologies to explore distant planets and moons.,0.1099
Regular exercise helps people maintain a healthy and active lifestyle.,Researchers discovered a new method for detecting diseases at an early stage.,0.1095
Machine learning enables computers to learn patterns from data without explicit programming.,Regular exercise helps people maintain a healthy and active lifestyle.,0.1083
Deep learning uses neural networks to solve complex problems involving large amounts of data.,Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,0.1074
Regular exercise helps people maintain a healthy and active lifestyle.,Cloud computing allows users to store and access data through internet-based services.,0.1073
Artificial intelligence is transforming many industries by automating complex tasks.,Cricket matches attract millions of viewers and fans across different countries.,0.1053
Reducing carbon emissions can help slow the effects of climate change.,Cricket matches attract millions of viewers and fans across different countries.,0.1043
Artificial intelligence is transforming many industries by automating complex tasks.,Researchers discovered a new method for detecting diseases at an early stage.,0.101
Climate change is causing significant changes in global weather patterns.,Modern smartphones provide users with powerful communication and computing features.,0.1006
Cricket matches attract millions of viewers and fans across different countries.,Cloud computing allows users to store and access data through internet-based services.,0.1006
Students can improve their academic performance through regular practice and effective study habits.,Researchers discovered a new method for detecting diseases at an early stage.,0.1006
Eating a balanced diet provides the body with essential nutrients and energy.,Electric vehicles are becoming increasingly popular because they can reduce fuel consumption.,0.1002
"Space exploration helps scientists understand planets, stars, and the universe.",Researchers discovered a new method for detecting diseases at an early stage.,0.0978
Scientists are developing new technologies to explore distant planets and moons.,Electric vehicles are becoming increasingly popular because they can reduce fuel consumption.,0.0975
Modern smartphones provide users with powerful communication and computing features.,The government announced new measures to improve public transportation.,0.0975
Cricket matches attract millions of viewers and fans across different countries.,Heavy rainfall can cause flooding in cities and affect transportation systems.,0.0973
Machine learning enables computers to learn patterns from data without explicit programming.,Football is one of the most popular sports in many countries around the world.,0.0962
Artificial intelligence is transforming many industries by automating complex tasks.,Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,0.0938
Artificial intelligence is transforming many industries by automating complex tasks.,Modern smartphones provide users with powerful communication and computing features.,0.0937
Students can improve their academic performance through regular practice and effective study habits.,Climate change is causing significant changes in global weather patterns.,0.0916
Climate change is causing significant changes in global weather patterns.,Football is one of the most popular sports in many countries around the world.,0.0901
Cricket matches attract millions of viewers and fans across different countries.,The government announced new measures to improve public transportation.,0.0894
Regular exercise helps people maintain a healthy and active lifestyle.,Climate change is causing significant changes in global weather patterns.,0.0892
Artificial intelligence is transforming many industries by automating complex tasks.,Students can improve their academic performance through regular practice and effective study habits.,0.0873
Modern smartphones provide users with powerful communication and computing features.,Heavy rainfall can cause flooding in cities and affect transportation systems.,0.0833
Climate change is causing significant changes in global weather patterns.,Researchers discovered a new method for detecting diseases at an early stage.,0.0826
"Space exploration helps scientists understand planets, stars, and the universe.",Cloud computing allows users to store and access data through internet-based services.,0.0817
Artificial intelligence is transforming many industries by automating complex tasks.,Online education allows students to access learning materials from anywhere.,0.0735
"Space exploration helps scientists understand planets, stars, and the universe.",Heavy rainfall can cause flooding in cities and affect transportation systems.,0.0732
Modern smartphones provide users with powerful communication and computing features.,Researchers discovered a new method for detecting diseases at an early stage.,0.073
"Space exploration helps scientists understand planets, stars, and the universe.",Electric vehicles are becoming increasingly popular because they can reduce fuel consumption.,0.0674
Machine learning enables computers to learn patterns from data without explicit programming.,Electric vehicles are becoming increasingly popular because they can reduce fuel consumption.,0.0663
Football is one of the most popular sports in many countries around the world.,"Space exploration helps scientists understand planets, stars, and the universe.",0.0662
Eating a balanced diet provides the body with essential nutrients and energy.,Cricket matches attract millions of viewers and fans across different countries.,0.0655
Cricket matches attract millions of viewers and fans across different countries.,Researchers discovered a new method for detecting diseases at an early stage.,0.0646
Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,Cricket matches attract millions of viewers and fans across different countries.,0.0613
Football is one of the most popular sports in many countries around the world.,Cloud computing allows users to store and access data through internet-based services.,0.0596
Machine learning enables computers to learn patterns from data without explicit programming.,Heavy rainfall can cause flooding in cities and affect transportation systems.,0.059
Researchers discovered a new method for detecting diseases at an early stage.,Electric vehicles are becoming increasingly popular because they can reduce fuel consumption.,0.0578
Football is one of the most popular sports in many countries around the world.,Researchers discovered a new method for detecting diseases at an early stage.,0.0571
Eating a balanced diet provides the body with essential nutrients and energy.,Football is one of the most popular sports in many countries around the world.,0.0553
Deep learning uses neural networks to solve complex problems involving large amounts of data.,Electric vehicles are becoming increasingly popular because they can reduce fuel consumption.,0.0552
Artificial intelligence is transforming many industries by automating complex tasks.,Regular exercise helps people maintain a healthy and active lifestyle.,0.055
Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,Modern smartphones provide users with powerful communication and computing features.,0.0549
Eating a balanced diet provides the body with essential nutrients and energy.,Modern smartphones provide users with powerful communication and computing features.,0.0537
Reducing carbon emissions can help slow the effects of climate change.,Modern smartphones provide users with powerful communication and computing features.,0.052
Online education allows students to access learning materials from anywhere.,Cricket matches attract millions of viewers and fans across different countries.,0.0517
Reducing carbon emissions can help slow the effects of climate change.,Researchers discovered a new method for detecting diseases at an early stage.,0.0515
Football is one of the most popular sports in many countries around the world.,Heavy rainfall can cause flooding in cities and affect transportation systems.,0.051
"Space exploration helps scientists understand planets, stars, and the universe.",Modern smartphones provide users with powerful communication and computing features.,0.0509
Eating a balanced diet provides the body with essential nutrients and energy.,Researchers discovered a new method for detecting diseases at an early stage.,0.0488
Football is one of the most popular sports in many countries around the world.,Scientists are developing new technologies to explore distant planets and moons.,0.0448
Online education allows students to access learning materials from anywhere.,Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,0.0435
Machine learning enables computers to learn patterns from data without explicit programming.,Eating a balanced diet provides the body with essential nutrients and energy.,0.0408
Online education allows students to access learning materials from anywhere.,Football is one of the most popular sports in many countries around the world.,0.0407
Deep learning uses neural networks to solve complex problems involving large amounts of data.,The government announced new measures to improve public transportation.,0.0407
Machine learning enables computers to learn patterns from data without explicit programming.,The government announced new measures to improve public transportation.,0.0394
Scientists are developing new technologies to explore distant planets and moons.,Heavy rainfall can cause flooding in cities and affect transportation systems.,0.0353
Heavy rainfall can cause flooding in cities and affect transportation systems.,Researchers discovered a new method for detecting diseases at an early stage.,0.033
Artificial intelligence is transforming many industries by automating complex tasks.,Eating a balanced diet provides the body with essential nutrients and energy.,0.0265
Online education allows students to access learning materials from anywhere.,Electric vehicles are becoming increasingly popular because they can reduce fuel consumption.,0.0255
Online education allows students to access learning materials from anywhere.,Reducing carbon emissions can help slow the effects of climate change.,0.0243
Deep learning uses neural networks to solve complex problems involving large amounts of data.,Eating a balanced diet provides the body with essential nutrients and energy.,0.024
Cloud computing allows users to store and access data through internet-based services.,The government announced new measures to improve public transportation.,0.0234
Eating a balanced diet provides the body with essential nutrients and energy.,Cloud computing allows users to store and access data through internet-based services.,0.0191
Deep learning uses neural networks to solve complex problems involving large amounts of data.,Cricket matches attract millions of viewers and fans across different countries.,0.015
Deep learning uses neural networks to solve complex problems involving large amounts of data.,Regular exercise helps people maintain a healthy and active lifestyle.,0.0137
Regular exercise helps people maintain a healthy and active lifestyle.,Scientists are developing new technologies to explore distant planets and moons.,0.0136
Online education allows students to access learning materials from anywhere.,The government announced new measures to improve public transportation.,0.0115
Students can improve their academic performance through regular practice and effective study habits.,Heavy rainfall can cause flooding in cities and affect transportation systems.,0.0107
Eating a balanced diet provides the body with essential nutrients and energy.,Climate change is causing significant changes in global weather patterns.,0.0092
Eating a balanced diet provides the body with essential nutrients and energy.,Scientists are developing new technologies to explore distant planets and moons.,0.0055
Cloud computing allows users to store and access data through internet-based services.,Researchers discovered a new method for detecting diseases at an early stage.,0.003
Regular exercise helps people maintain a healthy and active lifestyle.,Heavy rainfall can cause flooding in cities and affect transportation systems.,-0.0014
Deep learning uses neural networks to solve complex problems involving large amounts of data.,Football is one of the most popular sports in many countries around the world.,-0.0032
Football is one of the most popular sports in many countries around the world.,The government announced new measures to improve public transportation.,-0.0048
Online education allows students to access learning materials from anywhere.,Heavy rainfall can cause flooding in cities and affect transportation systems.,-0.0058
Online education allows students to access learning materials from anywhere.,Regular exercise helps people maintain a healthy and active lifestyle.,-0.0108
Online education allows students to access learning materials from anywhere.,Eating a balanced diet provides the body with essential nutrients and energy.,-0.0124
Reducing carbon emissions can help slow the effects of climate change.,Football is one of the most popular sports in many countries around the world.,-0.0146
Eating a balanced diet provides the body with essential nutrients and energy.,Heavy rainfall can cause flooding in cities and affect transportation systems.,-0.0149
Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,Football is one of the most popular sports in many countries around the world.,-0.0199
Online education allows students to access learning materials from anywhere.,Climate change is causing significant changes in global weather patterns.,-0.0218
Online education allows students to access learning materials from anywhere.,Researchers discovered a new method for detecting diseases at an early stage.,-0.0407
Renewable energy sources such as solar and wind power can reduce dependence on fossil fuels.,Researchers discovered a new method for detecting diseases at an early stage.,-0.0607
